Product_ID,Product_Name,Product_Category,Product_Sub_Category,Room_Department,Brand_Name,Product_Type,Color,Material,Style,Pattern,Occasion_Tag,Product_Price,Cost
P5089,Traditional Terracotta Sculpture,Decor,Vases,Decor,Barrel & Co,Sculpture,Terracotta,Ceramic,Traditional,Solid,,1593.12,776.98
P5023,Farmhouse Charcoal Hand Towel,Towels,Bath Towels,Bath,Aspen Living,Hand Towel,Charcoal,Cotton,Farmhouse,Solid,Housewarming,1088.21,583.44
P5102,Bohemian Terracotta Pendant Light,Lighting,Table Lamps,Decor,Heritage House,Pendant Light,Terracotta,Metal,Bohemian,Solid,,1914.54,803.97
P5008,Coastal Natural Serving Platter,Dinnerware,Plates & Bowls,Kitchen,Modern Nest,Serving Platter,Natural,Ceramic,Coastal,Solid,Wedding,2366.46,1008.33
P5064,Traditional Charcoal Sofa,Furniture,Sofas,Living Room,Casa Bella,Sofa,Charcoal,Performance Velvet,Traditional,Solid,Baby Shower,2089.88,1018.19
P5056,Coastal Ivory Sofa,Furniture,Sofas,Living Room,Casa Bella,Sofa,Ivory,Performance Velvet,Coastal,Textured,Housewarming,123.58,54.51
P5070,Coastal Black Console Table,Furniture,Coffee Tables,Living Room,Modern Nest,Console Table,Black,Marble,Coastal,Solid,Wedding,171.8,93.47
P5088,Traditional White Vase,Decor,Vases,Decor,Barrel & Co,Vase,White,Ceramic,Traditional,Solid,Holiday,417.49,243.68
P5097,Bohemian Terracotta Framed Print,Decor,Wall Art,Decor,Nordic Studio,Framed Print,Terracotta,Metal,Bohemian,Abstract,Holiday,2407.27,1385.57
P5135,Scandinavian White Throw Pillow,Textiles,Throw Pillows,Living Room,Aspen Living,Throw Pillow,White,Velvet,Scandinavian,Solid,,1403.61,727.34
P5032,Traditional Natural Shower Curtain,Bath Accessories,Bath Mats,Bath,Barrel & Co,Shower Curtain,Natural,Cotton,Traditional,Geometric,Everyday,1324.43,565.67
P5026,Industrial Sage Green Hand Towel,Towels,Bath Towels,Bath,Barrel & Co,Hand Towel,Sage Green,Cotton,Industrial,Striped,Everyday,300.49,126.1
P5075,Farmhouse Blush Runner Rug,Rugs,Area Rugs,Living Room,Heritage House,Runner Rug,Blush,Wool,Farmhouse,Striped,,1657.38,707.08
P5100,Scandinavian Terracotta Framed Print,Decor,Wall Art,Decor,Modern Nest,Framed Print,Terracotta,Metal,Scandinavian,Floral,Housewarming,1348.68,757.68
P5131,Bohemian Grey Kids Comforter,Kids,Kids Bedding,Kids,Heritage House,Kids Comforter,Grey,Fabric,Bohemian,Solid,,1379.85,645.37
P5062,Minimalist Charcoal Sectional,Furniture,Sofas,Living Room,Casa Bella,Sectional,Charcoal,Belgian Linen,Minimalist,Solid,,806.93,302.41
P5007,Industrial Black Frying Pan,Cookware,Pots & Pans,Kitchen,Modern Nest,Frying Pan,Black,Stainless Steel,Industrial,Solid,,1624.42,826.59
P5046,Modern White Duvet Cover,Bedding,Comforters,Bedding,Aspen Living,Duvet Cover,White,Cotton,Modern,Quilted,,272.2,156.46
P5069,Industrial Sage Green Side Table,Furniture,Coffee Tables,Living Room,Nordic Studio,Side Table,Sage Green,Oak,Industrial,Solid,,125.17,60.9
P5098,Minimalist Grey Wall Hanging,Decor,Wall Art,Decor,Modern Nest,Wall Hanging,Grey,Metal,Minimalist,Abstract,Holiday,1253.19,599.88
P5014,Minimalist Charcoal Dinner Plate Set,Dinnerware,Plates & Bowls,Kitchen,Aspen Living,Dinner Plate Set,Charcoal,Stoneware,Minimalist,Geometric,Housewarming,551.64,313.01
P5092,Minimalist Terracotta Sculpture,Decor,Vases,Decor,Casa Bella,Sculpture,Terracotta,Terracotta,Minimalist,Textured,Baby Shower,1551.0,554.59
P5066,Minimalist Mustard Side Table,Furniture,Coffee Tables,Living Room,Aspen Living,Side Table,Mustard,Oak,Minimalist,Solid,Housewarming,738.81,258.87
P5052,Coastal Rust Duvet Cover,Bedding,Comforters,Bedding,Casa Bella,Duvet Cover,Rust,Down Alternative,Coastal,Floral,Baby Shower,1761.53,1033.63
P5120,Industrial Sage Green Desk,Storage,Shelving,Office,Crate Home,Desk,Sage Green,Metal,Industrial,Solid,,1620.06,934.75
P5010,Coastal Natural Serving Platter,Dinnerware,Plates & Bowls,Kitchen,Heritage House,Serving Platter,Natural,Stoneware,Coastal,Floral,Everyday,1642.48,917.2
P5020,Industrial Ivory Blender,Small Appliances,Countertop,Kitchen,Modern Nest,Blender,Ivory,Plastic,Industrial,Solid,Baby Shower,2486.65,1200.15
P5093,Scandinavian Rust Bowl,Decor,Vases,Decor,Aspen Living,Bowl,Rust,Glass,Scandinavian,Solid,Everyday,2014.65,1050.13
P5017,Farmhouse White Kettle,Small Appliances,Countertop,Kitchen,Heritage House,Kettle,White,Stainless Steel,Farmhouse,Solid,Wedding,1128.96,497.32
P5006,Traditional Blush Wok,Cookware,Pots & Pans,Kitchen,Crate Home,Wok,Blush,Non-Stick,Traditional,Solid,,2058.71,1204.5
P5077,Farmhouse Rust Bar Stool,Furniture,Dining Tables,Dining,Casa Bella,Bar Stool,Rust,Oak,Farmhouse,Solid,Housewarming,917.83,505.06
